Symbol,Sector,Sector_Code,Market_Cap,PE_Ratio,PB_Ratio,ROE,Profit_Margin,Revenue_Growth,Earnings_Growth,Beta,Momentum_60,Volatility_60,RSI,Cluster,PC1,PC2
KKR,Financial,XLF,119832821760,54.378147,4.238415,0.07672,0.10564,0.132,0.406,1.997,-0.09571671564970097,0.3455666852395367,66.59811758503608,1,1.08673552785321,1.4342245575282528
ICE,Financial,XLF,90339819520,28.746815,3.1405094,0.114930004,0.32431,0.026,0.246,1.052,-0.09029675211528221,0.20160184252656066,62.64849305063264,2,-0.5394776123121675,-0.7013146469060175
CME,Financial,XLF,97675657216,26.247093,3.4576647,0.13346,0.58946997,-0.03,-0.004,0.293,0.03267254183398194,0.16476650658640218,30.67901794519487,2,-1.1807234084439384,-3.1362415579400835
USB,Financial,XLF,79770271744,11.729977,1.4112269,0.1172,0.27632,0.072,0.185,1.109,0.05454767618517997,0.2134441309714339,75.00003438734362,4,-0.06384172261294283,-0.10828307578155939
PNC,Financial,XLF,77746511872,12.789916,1.4583702,0.11486,0.29937,0.108,0.246,1.013,-0.011407018326584417,0.2109021224079526,73.88907285638446,4,-0.13191535228712215,-0.4850802908899966
AON,Financial,XLF,74434306048,27.616001,9.357296,0.3769,0.15962,0.074,0.344,0.833,-0.07191826622420072,0.18704356627222962,42.86953957845598,2,-1.1367721468907834,-1.148044647099033
TFC,Financial,XLF,61286850560,12.742627,1.0177947,0.07982,0.28605,0.025,0.048,0.882,0.06375138361399757,0.22726954782401187,74.67649132703427,4,-0.3974447471772848,-0.06133938571748622
COF,Financial,XLF,147523846144,78.73037,1.3527952,0.01615,0.04899,0.679,0.095,1.166,0.034846795847016665,0.28879526681082746,74.60664553607278,4,2.435206691107696,0.24190086737795527
AJG,Financial,XLF,61558726656,38.29233,2.6526864,0.090670004,0.13257,0.2,-0.252,0.688,-0.19151440949331322,0.2606542425299765,23.61760803912898,2,-1.423826846574585,-1.2633735581510397
TRV,Financial,XLF,63237849088,11.049961,1.9816712,0.19809,0.121350005,0.048,0.52,0.541,0.007026931574671158,0.18133010085284845,39.03358088371407,2,-1.6415894076371036,-1.283111007525922
AIG,Financial,XLF,42674913280,13.854317,1.0208598,0.07688,0.120170005,-0.041,0.323,0.626,-0.018337249039287573,0.23236825001402445,44.871778151640434,2,-1.748832813774974,-0.4702363824632702
MET,Financial,XLF,52310949888,14.8135605,1.7956445,0.12798001,0.053400002,-0.059,-0.326,0.756,-0.019696448044489112,0.22225730221127818,50.09962278603367,2,-2.042016376713135,0.369390784189889
MCO,Financial,XLF,89051561984,40.008057,22.384022,0.54914004,0.29916,0.107,0.229,1.453,-0.02893658568379509,0.23153712800488493,67.78735227678473,4,0.7199260879709045,-0.43352819864401865
ALL,Financial,XLF,53299224576,6.556564,2.0778887,0.34469002,0.12533,0.038,2.222,0.249,0.014143418872953006,0.2170995185649593,27.262524469846227,2,-1.3112031730244131,-2.6869418392793927
AMP,Financial,XLF,44973195264,13.124072,6.8826914,0.59589,0.19586,0.073,0.866,1.263,-0.036935745473540726,0.2204115427248283,62.795383026846295,4,-0.13356765353029287,-0.6551998569386946
PRU,Financial,XLF,39304986624,15.29863,1.2176454,0.085,0.04538,-0.083,2.234,0.966,0.05852010162808119,0.19920706718827677,70.15204344098314,2,-0.5826537591183378,-0.07901888652241529
BK,Financial,XLF,80411557888,16.453102,2.0365078,0.121520005,0.26568002,0.1,0.253,1.12,0.07609268399811353,0.17259634456391057,62.91967201429201,4,-0.17652924550176655,-0.610268045275677
FIS,Financial,XLF,34821758976,208.31252,2.4963489,0.011829999,0.0146200005,0.057,0.22,0.928,-0.0026928887738315588,0.24296137259894976,63.209611351449496,2,0.7899504223595508,2.0658326167156247
HIG,Financial,XLF,36392042496,10.591652,1.9978387,0.20069,0.12745,0.07,0.473,0.629,-0.01902194371723287,0.1735100529383326,38.505638280838994,2,-1.6186275995701904,-1.319400470325944
ACGL,Financial,XLF,34231764992,8.596064,1.4657142,0.17811,0.20959,0.082,0.391,0.447,-0.005853033850248379,0.2022720899326993,45.21533436579693,2,-1.3680793298095333,-1.476870725621411
MTB,Financial,XLF,30489702400,12.051266,1.1447766,0.09628,0.3054,0.08,0.199,0.604,-0.010760633426787125,0.2129709077523305,67.76110375216263,2,-0.7190726896312399,-0.8824410823427152
